Name	Level	School	Ritual	Casting Time	Range	Verbal	Somatic	Material	Materials	Concentration	Duration	Classes	Description
"Acid Arrow"	"2"	"evocation"	"False"	"1 action"	"90 feet"	"True"	"True"	"True"	"Powdered rhubarb leaf and an adder's stomach"	"False"	"Instantaneous"	"Wizard"	"A shimmering green arrow streaks toward a target within range and bursts in a spray of acid. Make a ranged spell Attack against the target. On a hit, the target takes 4d4 acid damage immediately and 2d4 acid damage at the end of its next turn. On a miss, the arrow splashes the target with acid for half as much of the initial damage and no damage at the end of its next turn.\n\nAt Higher Levels: When you cast this spell using a spell slot of 3rd Level or higher, the damage (both initial and later) increases by 1d4 for each slot level above 2nd."
"Acid Splash"	"cantrip"	"conjuration"	"False"	"1 action"	"60 feet"	"True"	"True"	"False"	""	"False"	"Instantaneous"	"Sorcerer, Wizard"	"You hurl a bubble of acid. Choose one creature within range, or choose two creatures within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage.\n\nThis spell's damage increases by 1d6 when you reach 5th Level (2d6), 11th level (3d6) and 17th level (4d6)."
"Aid"	"2"	"abjuration"	"False"	"1 action"	"30 feet"	"True"	"True"	"True"	"A tiny strip of white cloth"	"False"	"8 hours"	"Cleric, Paladin"	"Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target's hit point maximum and current Hit Points increase by 5 for the Duration.\n\nAt Higher Levels: When you cast this spell using a spell slot of 3rd Level or higher, a target's Hit Points increase by an additional 5 for each slot level above 2nd."
"Alarm"	"1"	"abjuration"	"True"	"1 minute"	"30 feet"	"True"	"True"	"True"	"a tiny bell and a piece of fine silver wire"	"False"	"8 hours"	"Ranger, Wizard"	"You set an alarm against unwanted intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot cube. Until the spell ends, an alarm alerts you whenever a tiny or larger creature touches or enters the warded area. When you cast the spell, you can designate creatures that won't set off the alarm. You also choose whether the alarm is mental or audible.\n\nA mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. This ping awakens you if you are sleeping.\n\nAn audible alarm produces the sound of a hand bell for 10 seconds within 60 feet."
"Alter Self"	"2"	"transmutation"	"False"	"1 action"	"Self"	"True"	"True"	"False"	""	"True"	"Up to 1 hour"	"Sorcerer, Wizard"	"You assume a different form. When you cast the spell, choose one of the following options, the Effects of which last for the Duration of the spell. While the spell lasts, you can end one option as an action to gain the benefits of a different one.\n\nAquatic Adaptation: You adapt your body to an aquatic Environment, sprouting gills, and growing webbing between your fingers. You can breathe Underwater and gain a Swimming speed equal to your walking speed.\n\nChange Appearance: You transform your Appearance. You decide what you look like, including your height, weight, facial features, sound of your voice, hair length, coloration, and distinguishing Characteristics, if any. You can make yourself appear as a member of another race, though none of your Statistics change. You also don't appear as a creature of a different size than you, and your basic shape stays the same, if you're bipedal, you can't use this spell to become quadrupedal, for instance. At any time for the Duration of the spell, you can use your action to change your Appearance in this way again.\n\nNatural Weapons: You grow claws, fangs, spines, horns, or a different natural weapon of your choice. Your unarmed strikes deal 1d6 bludgeoning, piercing, or slashing damage, as appropriate to the natural weapon you chose, and you are proficient with your unarmed strikes. Finally, the natural weapon is magic and you have a +1 bonus to the Attack and Damage Rolls you make using it."
"Animal Friendship"	"1"	"enchantment"	"False"	"1 action"	"30 feet"	"True"	"True"	"True"	"A morsel of food"	"False"	"24 hours"	"Bard, Druid, Ranger"	"This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast's Intelligence is 4 or higher, the spell fails. Otherwise, the beast must succeed on a Wisdom saving throw or be Charmed by you for the spell's Duration. If you or one of your companions harms the target, the Spells ends.\n\nAt Higher Levels: When you cast this spell using a spell slot of 2nd Level or higher, you can affect one additional beast level above 1st."
"Animal Messenger"	"2"	"enchantment"	"True"	"1 action"	"30 feet"	"True"	"True"	"True"	"A morsel of food"	"False"	"24 hours"	"Bard, Druid, Ranger"	"By means of this spell, you use an animal to deliver a Message. Choose a Tiny beast you can see within range, such as a squirrel, a blue ray, or a bird. You specify a Location, which you must have visited, and a recipient who matches a general description, such as a man or woman dressed in the uniform of the town guard or a red-haired dwarf wearing a pointed hat. You also speak a Message of up to twenty-five words. The target beast travels for the Duration of the spell towards the specified Location, covering about 50 miles per 24 hours for a flying messenger or 25 miles for Other Animals.\n\nWhen the messenger arrives, it delivers your Message to the creature that you described, replicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn't reach its destination before the spell ends, the Message is lost, and the beast makes its way back to where you cast this spell.\n\nAt Higher Levels: If you cast this spell using a spell slot of 3rd Level or higher, the Duration of the spell increases by 48 hours for each slot level above 2nd."
"Animal Shapes"	"8"	"transmutation"	"False"	"1 action"	"30 feet"	"True"	"True"	"False"	""	"True"	"Up to 24 hours"	"Druid"	"Your magic turns others into Beasts. Choose any number of willing creatures that you can see within range. You transform each target into the form of a large or smaller beast with a Challenge Rating of 4 or lower. On subsequent turns, you can use your Actions to transform affected creatures into new forms.\n\nThe transformation lasts for the Duration for each target, or until the target drops to 0 Hit Points or dies. You can choose a different form for each target. A target's game Statistics are replaced by the Statistics of the chosen beast, though the target retains its Alignment and Intelligence, Wisdom, and Charisma scores. The target assumes the Hit Points of its new form, and when it reverts to its normal form, it returns to the number of hit point it had before it transformed. If it reverts as a result of Dropping to 0 Hit Points, any excess damage carries over to its normal form. As long as the excess damage doesn't reduce the creature's normal form to 0 Hit Points, it isn't knocked Unconscious. The creature is limited in the Actions it can perform by the Nature of its new form, and it can't speak or cast Spells.\n\nThe target's gear melds into the new form. The target can't activate, wield, or otherwise benefit from any of its Equipment."
"Animate Dead"	"3"	"necromancy"	"False"	"1 minute"	"10 feet"	"True"	"True"	"True"	"A drop of blood, a piece of flesh, and a pinch of bone dust"	"False"	"Instantaneous"	"Cleric, Wizard"	"This spell creates an Undead servant. Choose a pile of bones or a corpse of a Medium or Small Humanoid within range. Your spell imbues the target with a foul mimicry of life, raising it as an Undead creature. The target becomes a Skeleton if you chose bones or a Zombie if you chose a corpse (the DM has the creature's game statistics).\n\nOn each of your turns, you can use a Bonus Action to mentally Command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creatures, you can Command any or all of them at the same time, issuing the same Command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general Command, such as to guard a particular Chamber or corridor. If you issue no commands, the creature only defends itself against Hostile creatures. Once given an order, the creature continues to follow it until its task is complete.\n\nThe creature is under your control for 24 hours, after which it stops obeying any Command you've given it. To maintain the control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell, rather than animating a new one.\n\nAt Higher Levels: When you cast this spell using a spell slot of 4th Level or higher, you animate or reassert control over two additional Undead creatures for each slot above 3rd. Each of the creatures must come from a different corpse or pile of bones."
"Animate Objects"	"5"	"transmutation"	"False"	"1 action"	"120 feet"	"True"	"True"	"False"	""	"True"	"Up to 1 minute"	"Bard, Sorcerer, Wizard"	"Objects come to life at your Command. Choose up to ten nonmagical Objects within range that are not being worn or carried. Medium Targets count as two Objects, Large Targets count as four Objects, Huge Targets count as eight Objects. You can't animate any object larger than Huge. Each target animates and becomes a creature under your control until the spell ends or until reduced to 0 Hit Points.\n\nAs a Bonus Action, you can mentally Command any creature you made with this spell if the creature is within 500 feet of you (if you control multiple creatures, you can Command any or all of them at the same time, issuing the same Command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general Command, such as to guard a particular Chamber or corridor. If you issue no commands, the creature only defends itself against Hostile creatures. Once given an order, the creature continues to follow it until its task is complete.\n\nAnimated Object Statistics\n\nTiny - HP: 20, AC: 18, Attack: +8 to hit, 1d4 + 4 damage, Str: 4, Dex: 18\n\nSmall - HP: 25, AC: 16, Attack: +6 to hit, 1d8 + 2 damage, Str: 6, Dex: 14\n\nMedium - HP: 40, AC: 13, Attack: +5 to hit, 2d6 + 1 damage, Str: 10, Dex: 12\n\nLarge - HP: 50, AC: 10, Attack: +6 to hit, 2d10 + 2 damage, Str: 14, Dex: 10\n\nHuge - HP: 80, AC: 10, Attack: +8 to hit, 2d12 + 4 damage, Str: 18, Dex: 6\n\nAn animated object is a Construct with AC, Hit Points, attacks, Strength, and Dexterity determine by its size. Its Constitution is 10 and its Intelligence and Wisdom are 3, and its Charisma is 1. Its speed is 30 feet, if the Objects lack legs or other appendages it can use for locomotion, it instead has a flying speed of 30 feet and can hover. If the object is securely attached to a surface or larger object, such as a chain bolted to a wall, its speed is 0. It has Blindsight with a radius of 30 feet and is blind beyond that distance. When the animated object drops to 0 Hit Points, it reverts to its original object form, and any remaining damage carries over to its original object form.\n\nIf you Command an object to Attack, it can make a single melee Attack against a creature within 5 feet of it. It makes a slam Attack with an Attack bonus and bludgeoning damage determine by its size. The DM might rule that a specific object inflicts slashing or piercing damage based on its form.\n\nAt Higher Levels: If you cast this spell using a spell slot of 6th level or higher, you can animate two additional Objects for each slot level above 5th."
